Site,Position,Enviroment,Convience ,Daytime,Nightime,Sign,China Mobile,China United Network ,Other mobile operator,China Telecommunications Corporation,sanitation,free parking hours,convention center,residential zone,convinence stores,parking lots,but stops,business building,theater,hospital,restroom,shopping mall,Price,Demand,Num of Charger open in day time,Number of night-only charger ,total number of charger,number of competitors' charger,competitors' price,the eletricity sell amount per day
43,3,0,1,1,1,0,1,0,0,0,1,2,1,2,4,5,0,19,0,0,1,0,1.7,3228,8,0,8,111,0.234234234,2897867
44,3,1,1,1,1,0,1,0,1,0,1,3,0,0,6,7,0,82,0,0,1,1,1.8,3232,12,0,12,85,0.505882353,1936037
45,3,1,1,1,1,0,1,0,0,0,2,2,0,0,2,1,1,0,0,0,1,0,1.7,1749,4,0,4,28,0.75,441552
46,1,0,1,1,1,1,1,0,0,0,2,3,9,5,0,1,1,0,0,0,1,0,1.7,2260,3,0,3,68,0.573529412,536247
47,3,0,1,1,1,0,1,0,1,0,1,3,0,1,0,1,1,1,0,0,1,0,1.6,2778,6,0,6,52,0.346153846,766529
48,3,1,1,1,1,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,1,0,1.7,1360,6,0,6,10,0.8,549500
49,1,1,1,1,1,1,1,0,0,0,0,3,0,8,9,5,1,61,0,0,0,0,1.7,3250,6,0,6,58,0.603448276,798389
50,1,0,1,1,1,1,1,0,1,0,1,3,0,1,3,5,3,16,0,0,2,0,1.8,2604,30,0,30,25,0.72,1662504
51,3,0,1,1,1,0,1,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,1.5,1084,20,0,20,3,0.333333333,332504
52,3,0,1,1,1,1,1,0,0,0,1,3,0,1,1,2,2,9,0,0,1,0,1.6,2119,10,0,10,14,0.428571429,1394014
53,3,0,1,1,1,0,1,0,0,0,1,3,0,1,1,2,3,22,0,0,0,0,1.6,2122,6,0,6,29,0.310344828,526398
54,3,0,1,1,1,0,1,0,0,0,0,2,0,0,0,1,2,4,0,0,0,0,1.6,2989,6,0,6,39,0.256410256,1047384
55,3,1,1,1,1,0,1,0,0,0,1,3,0,3,1,0,0,20,0,0,0,1,1.7,3132,2,0,2,16,0.25,1578040
56,2,0,1,1,1,1,1,0,0,0,1,3,0,2,2,4,0,0,0,0,0,0,1.5,2931,4,0,4,7,0.285714286,751287
57,3,1,1,1,1,0,1,0,0,0,0,3,0,0,3,2,2,25,0,1,1,0,1.6,3162,6,0,6,48,0.3125,1344201
58,3,0,1,1,1,1,1,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,1.6,3172,4,0,4,24,0.5,1980669
59,3,0,1,1,1,1,1,0,0,0,1,3,0,2,1,0,0,1,0,0,1,0,1.7,2354,6,0,6,10,0.9,2373669
60,3,0,1,1,1,0,1,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,1.7,2907,4,0,4,50,0.8,325911
61,1,0,1,1,1,0,1,0,0,0,0,3,0,0,1,1,3,2,0,1,0,0,1.7,2383,6,0,6,40,0.525,354334
